unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
9,gain_T24_a1.5_neg_p0.6,gain,T24,1.5,0.6,143,201,164,0.8159203980099502,44.8278694152832,0.7030563354492188,0.017131805419921875,14,False,,True,C
9,gain_T24_a1.5_pos_p0.2,gain,T24,1.5,0.2,84,201,146,0.7263681592039801,69.64694213867188,3.49371337890625,0.154541015625,31,False,,True,C
9,gain_T24_a1.5_pos_p0.4,gain,T24,1.5,0.4,113,201,154,0.7661691542288557,68.38313293457031,0.9628448486328125,0.154541015625,36,False,,True,C
9,gain_T24_a1.5_pos_p0.6,gain,T24,1.5,0.6,143,201,159,0.7910447761194029,62.04764938354492,4.672229766845703,0.11788177490234375,8,False,,True,A
9,gain_T24_a2.0_neg_p0.2,gain,T24,2.0,0.2,84,201,138,0.6865671641791045,74.32481384277344,1.6619949340820312,1.6619949340820312,51,True,12.0,False,A
9,gain_T24_a2.0_neg_p0.2,gain,T24,2.0,0.2,84,201,164,0.8159203980099502,44.8278694152832,0.8157806396484375,0.24258804321289062,14,False,,True,C
9,gain_T24_a2.0_neg_p0.4,gain,T24,2.0,0.4,113,201,164,0.8159203980099502,44.8278694152832,0.8157806396484375,0.24258804321289062,49,False,,True,C
9,gain_T24_a2.0_neg_p0.6,gain,T24,2.0,0.6,143,201,164,0.8159203980099502,44.8278694152832,1.0177536010742188,0.029397964477539062,17,False,,True,C
9,gain_T24_a2.0_pos_p0.2,gain,T24,2.0,0.2,84,201,146,0.7263681592039801,69.64694213867188,3.921356201171875,0.074493408203125,31,False,,True,C
9,gain_T24_a2.0_pos_p0.4,gain,T24,2.0,0.4,113,201,154,0.7661691542288557,68.38313293457031,0.4664764404296875,0.3778343200683594,36,False,,True,C
9,gain_T24_a2.0_pos_p0.6,gain,T24,2.0,0.6,143,201,163,0.8109452736318408,53.524635314941406,4.529293060302734,0.09170913696289062,13,False,,True,C
9,gain_T30_a1.5_neg_p0.2,gain,T30,1.5,0.2,84,201,154,0.7661691542288557,68.38313293457031,3.1893768310546875,0.060955047607421875,15,False,,True,C
9,gain_T30_a2.0_neg_p0.2,gain,T30,2.0,0.2,84,201,154,0.7661691542288557,68.38313293457031,4.060546875,0.0133209228515625,32,False,,True,C
9,gain_T50_a0.5_neg_p0.2,gain,T50,0.5,0.2,84,201,142,0.7064676616915423,76.11559295654297,4.430809020996094,0.009033203125,41,False,,True,C
9,gain_T50_a0.5_pos_p0.2,gain,T50,0.5,0.2,84,201,143,0.7114427860696517,74.71311950683594,3.1576385498046875,0.11309814453125,27,False,,True,C
9,gain_T50_a0.5_pos_p0.4,gain,T50,0.5,0.4,113,201,148,0.736318407960199,67.29855346679688,3.01812744140625,0.0484619140625,25,False,,True,C
9,gain_T50_a1.0_neg_p0.2,gain,T50,1.0,0.2,84,201,148,0.736318407960199,67.29855346679688,2.069183349609375,0.2149200439453125,53,False,,True,C
